Widgit,Oz,15
Wadgit,Ferndale,8
Sproket,Narnia,9
Spriket,Oz,13
Widgit,Ferndale,3
Wadgit,Oz,4
Sproket,Ferndale,1
Spriket,Narnia,4
Tripod,Narnia,5
Dipod,Oz,5
Widgit,Ferndale,13
Wadgit,Oz,8
Sproket,Ferndale,12
Spriket,Narnia,15
Tripod,Narnia,13
Dipod,Oz,13
Gadget,Ferndale,12
Geegaws,Narnia,15
Tripod,Oz,14
Dipod,Ferndale,15
Widgit,Narnia,11
Wadgit,Ferndale,7
Sproket,Narnia,2
Spriket,Ferndale,1
Tripod,Oz,2
Dipod,Ferndale,14
Gadget,Narnia,6
Geegaws,Oz,11
Widgit,Ferndale,3
Wadgit,Narnia,7
Sproket,Narnia,8
Spriket,Oz,3
Tripod,Oz,1
Dipod,Ferndale,9
Gadget,Narnia,14
Geegaws,Oz,4
Tripod,Ferndale,15
Dipod,Narnia,5
Gadget,Ferndale,3
Geegaws,Narnia,9
